	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
99	伤寒杂病论心悸证治规律研究	靳旭	黑龙江中医药大学	硕士	2024		177	原版阅读      CNKI AI阅读
100	基于数据挖掘探析梁国英教授治疗溃疡性结肠炎的用药规律	崔琰彬	黑龙江中医药大学	硕士	2024		113	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
101	基于数据挖掘与网络药理学分析中医药治疗脾胃湿热型慢性萎缩性胃炎的用药规律	赵梅	黑龙江中医药大学	硕士	2024		279	原版阅读      CNKI AI阅读
102	基于数据挖掘探讨姚美玉教授治疗月经后期的用药规律分析及网络药理学研究	田钰洁	黑龙江中医药大学	硕士	2024		185	原版阅读      CNKI AI阅读
103	基于数据挖掘的中医药治疗2型糖尿病合并失眠用药规律研究	张莹琪	黑龙江中医药大学	硕士	2024		223	原版阅读      CNKI AI阅读
104	谢晶日教授治疗溃疡性结肠炎活动期的用药规律及网络药理学分析	郭辉	黑龙江中医药大学	硕士	2024		270	原版阅读      CNKI AI阅读
105	基于数据挖掘探析刘朝霞教授治疗溃疡性结肠炎活动期的用药规律	赵博超	黑龙江中医药大学	硕士	2024		108	原版阅读      CNKI AI阅读
106	基于数据挖掘探析刘朝霞教授治疗功能性消化不良的用药规律	赵东娟	黑龙江中医药大学	硕士	2024		180	原版阅读      CNKI AI阅读
107	基于数据挖掘与网络药理学分析中医药治疗肝胃郁热型反流性食管炎的用药规律	李冰琪	黑龙江中医药大学	硕士	2024		271	原版阅读      CNKI AI阅读
108	基于数据挖掘探析刘朝霞教授治疗慢性萎缩性胃炎的用药规律	安悦	黑龙江中医药大学	硕士	2024		180	原版阅读      CNKI AI阅读
109	102例气阴两虚血瘀型慢性心衰患者的用药规律及网络药理学研究	楚子琰	黑龙江中医药大学	硕士	2024		157	原版阅读      CNKI AI阅读
110	基于数据挖掘和网络药理学分析湿热内蕴型肥胖合并高尿酸血症的用药规律及机制研究	孙明秀	黑龙江中医药大学	硕士	2024		283	原版阅读      CNKI AI阅读
111	谢晶日教授治疗溃疡性结肠炎缓解期用药规律分析及网络药理学研究	张曦丹	黑龙江中医药大学	硕士	2024		87	原版阅读      CNKI AI阅读
112	马建教授治疗肥胖型PCOS的用药规律及作用机制研究	陈琮萍	黑龙江中医药大学	硕士	2024		150	原版阅读      CNKI AI阅读
113	马建教授治疗血脂异常的临床用药规律及作用机制研究	刘丹	黑龙江中医药大学	硕士	2024		86	原版阅读      CNKI AI阅读
114	基于数据挖掘的中医药治疗原发性高血压的证候特征及用药规律研究	崔宇	黑龙江中医药大学	硕士	2024		284	原版阅读      CNKI AI阅读
115	加减黄连温胆汤治疗痰热扰心型失眠的临床观察	王耀磊	黑龙江中医药大学	硕士	2024		376	原版阅读      CNKI AI阅读
116	黄连阿胶汤加减结合耳穴揿针治疗围绝经期失眠（阴虚火旺型）的临床观察	姜玲莉	黑龙江中医药大学	硕士	2024		417	原版阅读      CNKI AI阅读
117	刺络拔罐联合黄连温胆汤加味治疗围绝经期心悸（痰火扰心型）的临床疗效观察	孙梦	黑龙江中医药大学	硕士	2024		318	原版阅读      CNKI AI阅读
118	近红外光谱数据分析中的若干集成式优化算法研究	李小玉	桂林理工大学	硕士	2024		84	原版阅读      CNKI AI阅读
119	左金丸及其有效成分吴茱萸次碱对阿司匹林诱导大鼠急性胃损伤的保护作用及机制研究	常蕾	南方医科大学	硕士	2024		251	原版阅读      CNKI AI阅读
120	基于网络药理学及分子对接技术探讨蒙药阿敏额尔敦治疗失眠症作用机制研究	高优罕	内蒙古民族大学	硕士	2024		276	原版阅读      CNKI AI阅读
121	新种环江黄连在中国的潜在分布区研究	郭兰芝	中国中医科学院	硕士	2024		137	原版阅读      CNKI AI阅读
122	萸黄连对溃疡性结肠炎药效和能量代谢影响的研究	邱传伟	南方医科大学	硕士	2024		185	原版阅读      CNKI AI阅读
123	基于多组学技术的黄连解毒汤治疗阿尔茨海默病的作用机制研究	高文雅	中国中医科学院	博士	2024	1	1665	原版阅读      CNKI AI阅读
124	黄连素通过调控巨噬细胞M1型极化治疗慢性胰腺炎及其机制研究	薛倩	大连理工大学	硕士	2024		26	原版阅读      CNKI AI阅读
125	基于iPSC的神经-肺腺癌肿瘤模型构建及药效评价	徐曙辉	大连理工大学	硕士	2024		5	原版阅读      CNKI AI阅读
126	戊己丸抗胃癌作用有效成分筛选及实验验证	王豫东	大连理工大学	硕士	2024		4	原版阅读      CNKI AI阅读
127	基于数据挖掘的国医大师周仲瑛教授辨治糖尿病的病案研究	李晓新	南京中医药大学	博士	2024		103	原版阅读      CNKI AI阅读
128	灰绿黄堇的化学成分及其抗肝癌和抗炎活性研究	冯慧婷	西藏大学	硕士	2024		206	原版阅读      CNKI AI阅读
129	基于肠道菌群探究小檗碱与黄芩苷配伍增效改善高脂血症的机制	高源	中国中医科学院	博士	2024		1204	原版阅读      CNKI AI阅读
130	中医疫毒理论研究	包瑜	中国中医科学院	博士	2024		422	原版阅读      CNKI AI阅读
131	黄连种植的文化生态研究——以石柱土家族自治县黄水镇为例	熊卉	吉首大学	硕士	2024		159	原版阅读      CNKI AI阅读
132	重庆中心城区常见园林树种抗火性评价及配置优化	董迪	重庆交通大学	硕士	2024	1	155	原版阅读      CNKI AI阅读
133	李智杰教授治疗痰浊上扰型头痛的临证经验研究	曹亚丽	湖北中医药大学	硕士	2024		17	原版阅读      CNKI AI阅读
134	中医药治疗胆汁反流性胃炎的知识图谱可视化及用药规律分析	陈奕真	湖北中医药大学	硕士	2024		34	原版阅读      CNKI AI阅读
135	基于数据挖掘探讨经方治疗溃疡性结肠炎的用药规律及作用机制研究	朱潜增	湖北中医药大学	硕士	2024		36	原版阅读      CNKI AI阅读
136	十味芪连汤联合二甲双胍治疗2型糖尿病脾虚痰湿证的临床观察	黄丹娜	湖北中医药大学	硕士	2024		11	原版阅读      CNKI AI阅读
137	黄连膏联合复方黄柏液促进肛周脓肿术后创面愈合的临床研究	胡月	湖北中医药大学	硕士	2024		28	原版阅读      CNKI AI阅读
138	加味黄连温胆汤联合西药治疗痰热内扰证失眠伴焦虑抑郁的疗效及电生理研究	蒋进珍	湖北中医药大学	硕士	2024		36	原版阅读      CNKI AI阅读
139	黄连属植物遗传多样性和生态适宜性研究	池玉洁	湖北中医药大学	硕士	2024		26	原版阅读      CNKI AI阅读
140	基于数据挖掘分析中医药治疗慢性萎缩性胃炎的辨证用药规律	李倩文	湖北中医药大学	硕士	2024		36	原版阅读      CNKI AI阅读
141	数据挖掘国家专利中药复方治疗慢性萎缩性胃炎的用药规律	冯璐璐	湖北中医药大学	硕士	2024		25	原版阅读      CNKI AI阅读
142	基于数据挖掘的近十年中药治疗溃疡性结肠炎用药规律研究	程帆	湖北中医药大学	硕士	2024		28	原版阅读      CNKI AI阅读
143	基于生信分析、分子对接技术探讨香砂六君子汤加味治疗胃食管反流病的作用机制	杨秋丽	广西中医药大学	硕士	2024		52	原版阅读      CNKI AI阅读
144	基于数据挖掘技术探讨邱明义教授治疗胃食管反流病的用药规律	何铃	湖北中医药大学	硕士	2024		12	原版阅读      CNKI AI阅读
145	基于数据挖掘从药物升降浮沉角度探究糖尿病合并失眠的中医证型及用药规律研究	林春婷	广西中医药大学	硕士	2024		17	原版阅读      CNKI AI阅读
146	加味黄连温胆汤治疗痰热瘀阻型稳定型心绞痛的临床观察	胡晓悦	湖北中医药大学	硕士	2024		22	原版阅读      CNKI AI阅读
147	基于数据挖掘探讨陈峭教授体证互辨运用柴胡化湿汤的临证经验总结	梁诗露	广西中医药大学	硕士	2024		4	原版阅读      CNKI AI阅读
148	基于数据挖掘探讨中医药治疗脾胃湿热型慢性萎缩性胃炎的用药规律研究	钟丰羽	广西中医药大学	硕士	2024		36	原版阅读      CNKI AI阅读
149	基于中医古籍的小儿汗证中医诊疗辅助决策方案研究	张玉婷	广西中医药大学	硕士	2024		22	原版阅读      CNKI AI阅读
150	基于数据挖掘的国医大师张磊治疗心系疾病的临证经验及用药规律研究	谭蜀琼	广西中医药大学	硕士	2024		14	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
151	基于数据挖掘的国医大师张磊运用《伤寒论》经方临证经验研究	莫小丽	广西中医药大学	硕士	2024		20	原版阅读      CNKI AI阅读
152	基于数据挖掘的国医大师张磊运用《金匮要略》经方临证经验研究	丁一	广西中医药大学	硕士	2024		18	原版阅读      CNKI AI阅读
153	基于数据挖掘探讨中医药治疗肝胃郁热型胃食管反流病的用药规律	谢佳涛	广西中医药大学	硕士	2024		20	原版阅读      CNKI AI阅读
154	基于数据挖掘探讨中医治疗糖尿病合并高尿酸血症的用药规律	王秋玲	广西中医药大学	硕士	2024		27	原版阅读      CNKI AI阅读
155	基于数据挖掘和网络药理学探讨从湿论治溃疡性结肠炎的用药规律及作用机制	商磊凌	广西中医药大学	硕士	2024		29	原版阅读      CNKI AI阅读
156	基于数据挖掘和网络药理学研究中医药治疗痰热型失眠的用药规律及机制	王嘉惠	广西中医药大学	硕士	2024		29	原版阅读      CNKI AI阅读
157	基于医案数据挖掘的经方治疗不寐的证治规律研究	陈百晓	广西中医药大学	硕士	2024		28	原版阅读      CNKI AI阅读
158	基于中医古籍构建不寐中医诊疗辅助决策方案研究	李华思	广西中医药大学	硕士	2024		28	原版阅读      CNKI AI阅读
159	熊魁梧教授经方应用规律研究	何吉甜	湖北中医药大学	硕士	2024		15	原版阅读      CNKI AI阅读
160	黄连解毒汤治疗糖尿病足溃疡的临床疗效及小檗碱促进糖尿病小鼠皮肤创面愈合的机制研究	郑力铭	湖北中医药大学	硕士	2024		98	原版阅读      CNKI AI阅读
161	基于君臣佐使结构化研究张赤志教授治疗肝病的处方决策规律	李紫明	湖北中医药大学	硕士	2024		26	原版阅读      CNKI AI阅读
162	基于数据挖掘探讨苏国阳教授治疗腹泻型肠易激综合征的用药规律	陈琛	湖北中医药大学	硕士	2024		18	原版阅读      CNKI AI阅读
163	基于数据整合研究及药物靶点虚拟探讨中医药治疗溃疡性结肠炎组方规律和作用机制	李偲嘉	广西中医药大学	硕士	2024		10	原版阅读      CNKI AI阅读
164	基于中医传承辅助平台挖掘中医药治疗肝胃郁热型胃食管反流病的用药组方规律	祖悦	广西中医药大学	硕士	2024		29	原版阅读      CNKI AI阅读
165	罗伟生教授治疗功能性腹泻的用药规律及经验总结	袁春梅	广西中医药大学	硕士	2024		12	原版阅读      CNKI AI阅读
166	胡爱民教授治疗围绝经期汗证用药规律及网络药理学分析	陈青林	湖北中医药大学	硕士	2024		20	原版阅读      CNKI AI阅读
167	基于数据挖掘分析现代中医文献中治疗肝胃郁热型胃食管反流病的用药规律	徐鑫伟	湖北中医药大学	硕士	2024		18	原版阅读      CNKI AI阅读
168	武汉地区成人反流性食管炎的中医辨证用药规律及危险因素分析	谈欣一	湖北中医药大学	硕士	2024		10	原版阅读      CNKI AI阅读
169	基于网络药理学与分子对接术探讨黄连温胆汤治疗痰热互结型高血压病合并焦虑的作用机制	杨敏	广西中医药大学	硕士	2024		106	原版阅读      CNKI AI阅读
170	肾移植术后早期腹泻危险因素分析及黄连素防治的初步探索	刘子杰	南方医科大学	硕士	2024		55	原版阅读      CNKI AI阅读
171	李赛美治疗2型糖尿病合并血脂异常的临床经验及核心处方作用机制研究	梁抒侬	广州中医药大学	博士	2024		77	原版阅读      CNKI AI阅读
172	赵进喜治疗DKD知识图谱构建及益气活血祛风方调节PMPs/mTORC1通路机制研究	张耀夫	北京中医药大学	博士	2024		87	原版阅读      CNKI AI阅读
173	黄连解毒合剂通过LncR-H19与miR-125b-5p调节Th17/Treg和皮肤屏障功能治疗银屑病的机制研究	孔祥一	云南中医药大学	博士	2024		47	原版阅读      CNKI AI阅读
174	基于方剂学理论框架和PRISMA指南的升阳益胃汤理论研究	周祖兵	成都中医药大学	博士	2024		162	原版阅读      CNKI AI阅读
175	左金丸干预脂肪酸代谢调控巨噬细胞极化治疗溃疡性结肠炎的机制研究	葛巍	江西中医药大学	博士	2024		495	原版阅读      CNKI AI阅读
176	黄连素超分子自组装体的构建与发光性质研究	徐诗源	武汉科技大学	硕士	2024		128	原版阅读      CNKI AI阅读
177	李小娟教授中医药治疗2型糖尿病伴失眠的用药规律研究	王莹	辽宁中医药大学	硕士	2024		53	原版阅读      CNKI AI阅读
178	尹远平教授治疗糖尿病周围神经病变用药规律分析及作用机制研究	王百强	辽宁中医药大学	硕士	2024		37	原版阅读      CNKI AI阅读
179	基于数据挖掘探讨理气药在胃食管反流病中应用及配伍规律研究	翟冬妍	辽宁中医药大学	硕士	2024		91	原版阅读      CNKI AI阅读
180	张艳教授治疗持续性房颤的用药规律分析和核心处方网络药理学研究	翟智慧	辽宁中医药大学	硕士	2024		56	原版阅读      CNKI AI阅读
